order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,total_amount
O00036,12/14/2023,C0098,P0728,S011,In-Store,3.00,242.37,0.00,727.11
O00037,6/14/2024,C0527,P0693,S009,In-Store,2.00,147.47,0.20,235.95
O00038,11/26/2024,C0121,P0493,S019,In-Store,2.00,178.11,0.05,338.41
O00039,8/18/2024,C0384,P0183,S055,In-Store,1.00,304.66,0.20,243.73
O00040,4/19/2023,C0668,P0911,S007,In-Store,3.00,298.36,0.00,895.08
O00041,12/30/2023,C0500,P1043,,Online,2.00,321.82,0.20,514.91
O00042,1/13/2024,C0763,P0193,S011,In-Store,1.00,62.96,0.20,50.37
O00043,5/28/2024,C0660,P0888,,Online,2.00,99.91,0.05,189.83
O00044,12/9/2023,C0065,P1100,,Online,1.00,74.54,0.00,74.54
O00045,5/10/2024,C0549,P1085,S033,In-Store,2.00,42.67,0.00,85.34
O00046,2/9/2025,C0212,P0240,,Online,10.00,85.49,0.05,812.2
O00047,8/1/2023,C0457,P0643,,Online,1.00,252.43,0.05,239.81
O00048,8/29/2024,C0668,P0330,,Online,1.00,355.55,0.10,320
O00049,5/2/2024,C0035,P0173,S032,In-Store,3.00,209.18,0.10,564.79
O00050,7/13/2023,C0557,P0351,S017,In-Store,1.00,170.33,0.00,170.33
O00051,7/5/2024,C0047,P1063,S018,In-Store,3.00,71.55,0.20,171.72
O00052,6/7/2023,C0502,P0640,S022,In-Store,1.00,215.37,0.05,204.6
O00053,10/19/2023,C0678,P0091,,Online,1.00,27.29,0.05,25.93
O00054,7/20/2023,C0220,P0274,S013,In-Store,1.00,285.95,0.10,257.36
O00055,5/12/2023,C0746,P0864,,Online,3.00,113.48,0.10,306.4
O00056,5/27/2023,C0665,P0334,S005,In-Store,1.00,135.83,0.10,122.25
O00057,3/30/2024,C0711,P0293,S004,In-Store,1.00,259.84,0.10,233.86
O00058,8/24/2023,C0713,P0394,S036,In-Store,2.00,219.00,0.05,416.1
O00059,11/6/2023,C0157,P0647,S027,In-Store,2.00,139.35,0.20,222.96
O00060,4/19/2024,C0618,P0506,,Online,3.00,76.44,0.00,229.32
O00061,1/3/2025,C0700,P1123,S021,In-Store,3.00,75.06,0.00,225.18
O00062,3/9/2024,C0341,P0559,,Online,1.00,286.97,0.05,272.62
O00063,6/22/2023,C0100,P0772,S014,In-Store,1.00,121.36,0.20,97.09
O00064,8/20/2023,C0596,P0252,,Online,1.00,231.15,0.10,208.03
O00065,7/17/2023,C0501,P0195,S044,In-Store,2.00,151.18,0.10,272.12
O00066,11/1/2023,C0622,P0202,S010,In-Store,1.00,218.60,0.10,196.74
O00067,2/4/2025,C0398,P0370,S047,In-Store,1.00,106.39,0.20,85.11
O00068,6/12/2024,C0130,P0530,,Online,2.00,274.32,0.05,521.21
O00069,2/13/2025,C0146,P0775,S017,In-Store,1.00,22.99,0.00,22.99
O00070,2/22/2025,C0654,P0758,S015,In-Store,2.00,218.78,0.20,350.05
O00071,7/12/2023,C0187,P0898,S051,In-Store,1.00,204.25,0.20,163.4
O00072,5/1/2023,C0282,P0876,S045,In-Store,1.00,181.91,0.05,172.81
O00073,5/4/2024,C0089,P0625,S020,In-Store,1.00,249.56,0.00,249.56
O00074,11/24/2024,C0078,P0491,S010,In-Store,2.00,205.20,0.00,410.4
O00075,12/14/2023,C0292,P1134,S051,In-Store,3.00,40.51,0.00,121.53
O00076,10/29/2023,C0434,P1041,S008,In-Store,1.00,127.15,0.20,101.72
O00077,9/9/2024,C0701,P1090,S025,In-Store,1.00,32.87,0.00,32.87
O00078,6/2/2024,C0763,P0014,,In-Store,1.00,34.42,0.10,30.98
O00079,1/6/2024,C0756,P1081,S002,In-Store,1.00,26.30,0.20,21.04
O00080,10/22/2023,C0690,P1072,S011,In-Store,1.00,200.65,0.00,200.65
O00081,3/11/2024,C0136,P1052,S003,In-Store,1.00,190.93,0.20,152.74
O00082,5/13/2024,C0174,P0764,S021,In-Store,1.00,241.25,0.05,229.19
O00083,6/5/2023,C0784,P0241,,Online,1.00,195.47,0.20,156.38
O00084,11/5/2024,C0218,P0004,S036,In-Store,2.00,88.47,0.20,141.55
O00085,3/15/2024,C0312,P1055,S002,In-Store,2.00,200.83,0.20,321.33
O00086,6/20/2023,C0499,P0117,S039,In-Store,1.00,197.56,0.20,158.05
O00087,9/12/2023,C0362,P0219,,Online,2.00,125.63,0.05,238.7
O00088,5/31/2024,C0009,P0207,S012,In-Store,1.00,176.19,0.00,176.19
O00089,5/4/2023,C0157,P0841,,Online,10.00,101.01,0.20,808.1
O00090,9/19/2024,C0787,P0512,,Online,3.00,258.13,0.20,619.51
O00091,8/26/2023,C0373,P0877,S034,In-Store,3.00,238.06,0.10,642.76
O00092,3/1/2024,C0449,P0899,,Online,1.00,118.47,0.10,106.62
O00093,3/18/2024,C0005,P0735,S045,In-Store,2.00,196.86,0.05,374.03
O00094,11/25/2024,C0291,P0082,,Online,2.00,177.36,0.20,283.78
O00095,2/27/2024,C0032,P0328,S017,In-Store,1.00,126.04,0.20,100.83
O00096,4/14/2024,C0272,P0243,S035,In-Store,2.00,62.91,0.20,100.66
O00097,2/15/2025,C0731,P0260,S048,In-Store,3.00,116.29,0.20,279.1
O00098,5/30/2023,C0759,P0796,,Online,1.00,87.96,0.00,87.96
O00099,9/6/2024,C0129,P0318,S000,In-Store,1.00,80.10,0.05,76.09
O00100,2/29/2024,C0350,P0879,S047,In-Store,3.00,168.21,0.00,504.63
O00101,12/17/2024,C0296,P0577,S048,In-Store,2.00,309.01,0.20,494.42
O00102,9/21/2024,C0156,P1047,,Online,2.00,126.31,0.10,227.36
O00103,1/13/2025,C0269,P0506,S027,In-Store,2.00,76.44,0.05,145.24
O00104,12/4/2024,C0596,P0211,S032,In-Store,2.00,143.29,0.05,272.25
O00105,7/25/2023,C0605,P0304,,Online,1.00,138.55,0.05,131.62
O00106,8/19/2024,C0280,P0393,S027,In-Store,3.00,301.95,0.00,905.85
O00107,12/19/2024,C0093,P0104,S033,In-Store,3.00,237.61,0.10,641.55
O00108,7/16/2023,C0236,P0454,S030,In-Store,1.00,57.81,0.00,57.81
O00109,5/1/2023,C0659,P0105,S017,In-Store,1.00,49.07,0.10,44.16
O00110,10/16/2023,C0359,P0856,,Online,1.00,72.18,0.00,72.18
O00111,6/23/2024,C0000,P0106,S020,In-Store,2.00,117.10,0.05,222.49
O00112,9/12/2024,C0286,P0206,,In-Store,2.00,44.72,0.20,71.55
O00113,5/11/2024,C0311,P0228,,Online,1.00,59.10,0.00,59.1
O00114,3/26/2025,C0788,P0266,S047,In-Store,3.00,273.92,0.10,739.58
O00115,2/3/2025,C0603,P1083,S015,In-Store,1.00,186.78,0.10,168.1
O00116,9/7/2024,C0393,P0178,S008,In-Store,2.00,129.07,0.00,258.14
O00117,9/9/2024,C0670,P0390,,Online,1.00,178.02,0.20,142.42
O00118,6/14/2024,C0076,P1119,S019,In-Store,1.00,64.93,0.20,51.94
O00119,8/13/2024,C0206,P1092,S002,In-Store,1.00,48.28,0.05,45.87
O00120,12/29/2023,C0563,P0517,S048,In-Store,2.00,203.43,0.10,366.17
O00121,3/1/2025,C0459,P0240,S004,In-Store,1.00,85.49,0.20,68.39
O00122,7/3/2023,C0515,P0044,,Online,1.00,22.60,0.10,20.34
O00123,6/24/2024,C0132,P0593,,Online,2.00,71.58,0.00,143.16
O00124,11/16/2023,C0710,P0389,S025,In-Store,1.00,277.24,0.20,221.79
O00125,5/25/2024,C0525,P0153,,Online,1.00,56.67,0.20,45.34
O00126,4/19/2024,C0399,P0820,S013,In-Store,30.00,310.73,0.05,8855.8
O00127,8/13/2023,C0585,P0446,S000,In-Store,3.00,89.71,0.20,215.3
O00128,8/16/2023,C0737,P1075,,Online,1.00,285.01,0.05,270.76
O00129,2/24/2024,C0274,P1130,,Online,2.00,208.54,0.05,396.23
O00130,5/3/2023,C0243,P0597,,Online,1.00,105.66,0.05,100.38
O00131,5/15/2024,C0284,P0272,,Online,2.00,43.92,0.00,87.84
O00132,1/28/2024,C0254,P0430,S000,In-Store,2.00,126.13,0.10,227.03
O00133,4/14/2023,C0377,P0664,,Online,1.00,191.74,0.10,172.57
O00134,1/16/2025,C0418,P0603,S003,In-Store,1.00,31.80,0.00,31.8
O00135,5/7/2023,C0224,P0572,,Online,1.00,271.22,0.00,271.22
O00136,4/28/2024,C0796,P1194,,Online,1.00,50.75,0.20,40.6
O00137,1/10/2025,C0263,P1128,,Online,1.00,153.70,0.20,122.96
O00138,12/25/2024,C0275,P0417,S051,In-Store,1.00,56.54,0.20,45.23
O00139,1/17/2024,C0237,P0888,S057,In-Store,1.00,99.91,0.20,79.93
O00140,10/5/2023,C0185,P0940,,Online,2.00,21.41,0.05,40.68
O00141,7/10/2024,C0502,P0369,S001,In-Store,3.00,314.41,0.10,848.91
O00142,6/1/2023,C0181,P0807,S012,In-Store,1.00,135.25,0.00,135.25
O00143,4/23/2023,C0436,P0502,S041,In-Store,2.00,256.28,0.20,410.05
O00144,5/3/2023,C0539,P0281,S051,In-Store,2.00,197.67,0.00,395.34
O00145,3/22/2025,C0386,P0786,,Online,2.00,21.67,0.00,43.34
O00146,10/21/2024,C0659,P0089,,Online,2.00,229.10,0.00,458.2
O00147,12/24/2023,C0642,P0027,S000,In-Store,2.00,236.79,0.00,473.58
O00148,5/22/2024,C0346,P0174,,Online,2.00,178.88,0.20,286.21
O00149,6/14/2023,C0454,P0334,S030,In-Store,1.00,135.83,0.05,129.04
O00150,6/30/2023,C0556,P0547,S007,In-Store,2.00,235.33,0.00,470.66
O00151,1/27/2025,C0105,P1115,,Online,2.00,265.80,0.20,425.28
O00152,2/18/2024,C0229,P0049,,Online,1.00,186.29,0.20,149.03
O00153,4/28/2024,C0671,P0587,,Online,2.00,78.06,0.20,124.9
O00154,6/27/2024,C0732,P0230,S007,In-Store,2.00,73.43,0.05,139.52
O00155,9/26/2023,C0288,P0731,,Online,1.00,138.18,0.10,124.36
O00156,1/29/2024,C0086,P0088,S011,In-Store,3.00,361.93,0.20,868.63
O00157,6/9/2023,C0614,P0371,S009,In-Store,4.00,229.56,0.10,826.42
O00158,9/3/2024,C0293,P0713,S017,In-Store,1.00,175.75,0.20,140.6
O00159,7/20/2023,C0271,P0156,S055,In-Store,1.00,140.30,0.05,133.28
O00160,9/30/2023,C0150,P0655,,Online,2.00,25.85,0.20,41.36
O00161,4/16/2023,C0526,P0979,S007,In-Store,2.00,117.11,0.20,187.38
O00162,12/12/2024,C0285,P0296,,Online,1.00,34.89,0.05,33.15
O00163,8/26/2024,C0394,P0722,S027,In-Store,3.00,17.67,0.20,42.41
O00164,1/22/2025,C0423,P0682,,Online,1.00,197.42,0.05,187.55
O00165,3/27/2025,C0562,P1018,S031,In-Store,2.00,167.01,0.05,317.32
O00166,7/14/2023,C0594,P0863,S049,In-Store,1.00,109.70,0.05,104.22
O00167,7/15/2024,C0240,P0740,,Online,3.00,149.47,0.00,448.41
O00168,9/29/2023,C0485,P0273,S003,In-Store,3.00,125.14,0.10,337.88
O00169,1/2/2025,C0797,P0285,,Online,1.00,86.63,0.05,82.3
O00170,7/18/2024,C0564,P0862,,Online,1.00,105.88,0.05,100.59
O00171,4/9/2025,C0141,P0240,S045,In-Store,2.00,85.49,0.05,162.43
O00172,7/5/2023,C0026,P0869,S044,In-Store,1.00,216.72,0.00,216.72
O00173,1/8/2025,C0075,P0976,S055,In-Store,1.00,290.20,0.05,275.69
O00174,8/4/2024,C0374,P0289,,Online,2.00,17.32,0.00,34.64
O00175,12/12/2024,C0426,P0306,S030,In-Store,1.00,148.17,0.05,140.76
O00176,10/19/2024,C0715,P0613,S046,In-Store,1.00,316.84,0.10,285.16
O00177,9/22/2024,C0660,P0027,,Online,1.00,236.79,0.05,224.95
O00178,3/21/2025,C0657,P0065,S011,In-Store,1.00,103.15,0.05,97.99
O00179,11/11/2023,C0433,P0930,S053,In-Store,3.00,201.43,0.10,543.86
O00180,8/15/2024,C0513,P0626,S027,In-Store,1.00,352.02,0.05,334.42
O00181,5/9/2023,C0094,P1068,S017,In-Store,2.00,222.82,0.05,423.36
O00182,4/7/2024,C0410,P0114,,Online,1.00,291.58,0.05,277
O00183,3/24/2025,C0572,P0158,S029,In-Store,1.00,106.61,0.20,85.29
O00184,9/2/2024,C0657,P0829,S010,In-Store,2.00,244.31,0.00,488.62
O00185,4/15/2024,C0662,P0868,,Online,2.00,207.53,0.00,415.06
O00186,6/15/2023,C0371,P0687,,Online,2.00,207.29,0.10,373.12
O00187,12/12/2024,C0109,P0133,,Online,2.00,50.24,0.00,100.48
O00188,8/18/2023,C0316,P0384,S040,In-Store,1.00,35.44,0.00,35.44
O00189,11/15/2024,C0087,P1167,S036,In-Store,1.00,55.44,0.20,44.35
O00190,10/9/2023,C0322,P0190,S000,In-Store,1.00,232.24,0.10,209.02
O00191,2/9/2024,C0407,P1024,,Online,1.00,22.98,0.20,18.38
O00192,9/16/2024,C0132,P0199,S057,In-Store,4.00,115.92,0.00,463.68
O00193,10/8/2023,C0793,P0307,,Online,3.00,184.00,0.20,441.6
O00194,4/27/2024,C0038,P0594,,Online,1.00,9.30,0.20,7.44
O00195,12/3/2023,C0640,P0191,S014,In-Store,1.00,208.21,0.05,197.8
O00196,7/10/2023,C0669,P0288,S010,In-Store,2.00,281.92,0.10,507.46
O00197,2/18/2025,C0134,P0694,,Online,2.00,156.82,0.20,250.91
O00198,3/4/2024,C0729,P0793,,Online,2.00,273.34,0.00,546.68
O00199,1/3/2025,C0580,P1018,,Online,1.00,167.01,0.00,167.01
O00200,2/1/2025,C0316,P1120,S051,In-Store,1.00,146.64,0.00,146.64
O00201,10/11/2023,C0465,P0642,,Online,2.00,258.83,0.10,465.89
O00202,9/9/2024,C0286,P1180,S005,In-Store,2.00,89.37,0.00,178.74
O00203,6/5/2024,C0790,P0943,,Online,1.00,181.12,0.20,144.9
O00204,12/11/2023,C0781,P0905,S008,In-Store,1.00,138.07,0.00,138.07
O00205,10/14/2024,C0499,P0081,S018,In-Store,1.00,102.43,0.20,81.94
O00206,8/26/2024,C0634,P0264,S032,In-Store,2.00,69.39,0.10,124.9
O00207,3/27/2024,C0698,P0846,S016,In-Store,4.00,257.54,0.00,1030.16
O00208,12/9/2024,C0659,P0116,S015,In-Store,2.00,196.71,0.00,393.42
O00209,8/6/2024,C0107,P0595,S036,In-Store,1.00,277.06,0.20,221.65
O00210,10/29/2024,C0228,P0795,S042,In-Store,2.00,255.38,0.00,510.76
O00211,10/7/2023,C0479,P1095,S029,In-Store,2.00,96.11,0.00,192.22
O00212,8/5/2023,C0749,P0221,S059,In-Store,2.00,58.35,0.20,93.36
O00213,12/7/2023,C0204,P0822,S020,In-Store,2.00,79.83,0.10,143.69
O00214,12/31/2024,C0497,P0435,S030,In-Store,4.00,254.88,0.00,1019.52
O00215,11/30/2023,C0039,P1116,,Online,1.00,207.01,0.20,165.61
O00216,6/28/2023,C0218,P0655,S038,In-Store,2.00,25.85,0.20,41.36
O00217,11/24/2024,C0370,P0880,S013,In-Store,1.00,166.53,0.00,166.53
O00218,2/16/2025,C0023,P0866,,Online,2.00,64.96,0.05,123.42
O00219,11/20/2023,C0070,P0560,S019,In-Store,1.00,59.02,0.20,47.22
O00220,5/20/2024,C0537,P0438,S016,In-Store,1.00,270.30,0.05,256.79
O00221,1/19/2024,C0094,P0877,S048,In-Store,1.00,238.06,0.10,214.25
O00222,12/1/2024,C0357,P0858,S034,In-Store,2.00,309.56,0.05,588.16
O00223,3/18/2025,C0447,P0726,S036,In-Store,2.00,268.98,0.20,430.37
O00224,7/20/2024,C0574,P1016,,Online,1.00,321.00,0.05,304.95
O00225,11/21/2024,C0751,P0648,,Online,2.00,240.95,0.20,385.52
O00226,10/5/2023,C0511,P0648,,Online,1.00,240.95,0.20,192.76
O00227,6/4/2023,C0739,P0007,S017,In-Store,1.00,276.22,0.05,262.41
O00228,1/15/2025,C0654,P1184,,Online,1.00,32.67,0.05,31.04
O00229,8/30/2024,C0192,P0860,S049,In-Store,1.00,179.40,0.05,170.43
O00230,11/2/2023,C0221,P0712,,Online,4.00,124.00,0.05,471.2
O00231,4/3/2025,C0590,P0029,S023,In-Store,2.00,37.24,0.00,74.48
O00232,4/3/2024,C0314,P1028,S007,In-Store,1.00,233.27,0.20,186.62
O00233,8/28/2023,C0466,P0847,S022,In-Store,1.00,292.23,0.20,233.78
O00234,11/29/2024,C0783,P0687,,Online,3.00,207.29,0.05,590.78
O00235,1/3/2025,C0382,P0362,S010,In-Store,4.00,149.41,0.20,478.11
O00236,11/19/2024,C0675,P0895,S044,In-Store,1.00,205.55,0.00,205.55
O00237,2/15/2024,C0106,P0183,S039,In-Store,1.00,304.66,0.20,243.73
O00238,4/9/2025,C0767,P1115,,Online,3.00,265.80,0.20,637.92
O00239,2/2/2024,C0033,P0593,S013,In-Store,2.00,71.58,0.05,136
O00240,7/9/2024,C0564,P0780,,Online,1.00,253.19,0.20,202.55
O00241,3/4/2025,C0359,P0950,S052,In-Store,20.00,182.20,0.20,2915.2
O00242,4/10/2024,C0383,P0458,S017,In-Store,1.00,296.72,0.10,267.05
O00243,2/14/2025,C0480,P0849,S000,In-Store,2.00,111.61,0.20,178.58
O00244,7/4/2023,C0026,P0314,S053,In-Store,2.00,144.23,0.10,259.61
O00245,6/27/2023,C0585,P0880,,Online,2.00,166.53,0.20,266.45
O00246,7/14/2024,C0659,P0805,S051,In-Store,1.00,290.78,0.20,232.62
O00247,1/1/2024,C0651,P0799,,In-Store,2.00,61.07,0.20,97.71
O00248,11/12/2024,C0529,P0324,S006,In-Store,1.00,96.35,0.05,91.53
O00249,9/16/2024,C0646,P1181,S053,In-Store,2.00,64.84,0.10,116.71
O00250,8/27/2023,C0162,P0660,,Online,1.00,161.23,0.00,161.23
O00251,11/27/2024,C0011,P0111,,Online,1.00,184.61,0.00,184.61
O00252,4/23/2024,C0025,P0267,S040,In-Store,1.00,349.07,0.10,314.16
O00253,2/21/2024,C0668,P0454,,Online,2.00,57.81,0.05,109.84
O00254,1/17/2025,C0526,P0774,S042,In-Store,2.00,58.03,0.00,116.06
O00255,8/20/2024,C0147,P0047,S037,In-Store,1.00,141.00,0.00,141
O00256,8/14/2024,C0610,P0251,,Online,2.00,201.63,0.10,362.93
O00257,8/11/2023,C0184,P0190,,Online,1.00,232.24,0.10,209.02
O00258,1/13/2024,C0212,P0800,,Online,1.00,100.39,0.00,100.39
O00259,2/9/2024,C0498,P0156,,Online,1.00,140.30,0.20,112.24
O00260,7/30/2023,C0321,P0923,S011,In-Store,4.00,73.26,0.10,263.74
O00261,11/21/2023,C0182,P1161,,In-Store,1.00,32.57,0.00,32.57
O00262,7/27/2023,C0351,P0710,S039,In-Store,3.00,23.50,0.00,70.5
O00263,5/1/2024,C0759,P0521,S012,In-Store,2.00,206.03,0.00,412.06
O00264,10/16/2024,C0530,P1048,S013,In-Store,2.00,60.30,0.10,108.54
O00265,10/17/2023,C0222,P0060,S014,In-Store,3.00,146.26,0.00,438.78
O00266,5/11/2024,C0129,P0548,,Online,2.00,209.52,0.05,398.09
O00267,6/6/2024,C0356,P1129,S029,In-Store,2.00,81.51,0.20,130.42
O00268,2/3/2025,C0409,P0395,,Online,1.00,78.81,0.05,74.87
O00269,12/29/2024,C0734,P0575,S006,In-Store,3.00,101.87,0.10,275.05
O00270,5/26/2023,C0210,P0999,S028,In-Store,3.00,185.46,0.20,445.1
O00271,7/31/2023,C0278,P0652,S038,In-Store,1.00,171.03,0.20,136.82
O00272,10/30/2024,C0580,P0722,S040,In-Store,1.00,17.67,0.00,17.67
O00273,8/21/2024,C0034,P1047,,Online,1.00,126.31,0.20,101.05
O00274,7/11/2023,C0660,P1086,S001,In-Store,1.00,80.63,0.00,80.63
O00275,12/22/2023,C0330,P0879,S022,In-Store,1.00,168.21,0.05,159.8
O00276,5/28/2024,C0672,P0761,S049,In-Store,3.00,240.31,0.10,648.84
O00277,10/24/2024,C0326,P0022,S013,In-Store,1.00,124.36,0.20,99.49
O00278,5/4/2024,C0329,P0476,S024,In-Store,1.00,52.23,0.10,47.01
O00279,2/16/2024,C0539,P0445,,Online,2.00,35.94,0.10,64.69
O00280,11/7/2024,C0687,P0153,S041,In-Store,2.00,56.67,0.20,90.67
O00281,1/22/2024,C0445,P0650,S012,In-Store,1.00,190.70,0.05,181.16
O00282,3/21/2024,C0505,P1021,,Online,1.00,176.65,0.10,158.99
O00283,5/20/2023,C0127,P0927,,Online,2.00,33.50,0.10,60.3
O00284,8/14/2023,C0242,P1180,,Online,3.00,89.37,0.00,268.11
O00285,9/3/2023,C0589,P0009,S018,In-Store,1.00,250.87,0.05,238.33
O00286,10/18/2023,C0412,P0075,S058,In-Store,1.00,199.17,0.00,199.17
O00287,10/3/2023,C0016,P0142,S053,In-Store,2.00,132.42,0.20,211.87
O00288,1/3/2024,C0281,P0649,S025,In-Store,1.00,266.25,0.00,266.25
O00289,10/29/2023,C0320,P1011,S025,In-Store,1.00,88.39,0.10,79.55
O00290,3/4/2024,C0465,P1010,S058,In-Store,1.00,228.83,0.00,228.83
O00291,4/30/2024,C0632,P0210,,Online,1.00,193.02,0.00,193.02
O00292,12/22/2024,C0142,P0215,S055,In-Store,1.00,203.42,0.20,162.74
O00293,12/10/2023,C0090,P0391,S051,In-Store,1.00,234.22,0.10,210.8
O00294,6/4/2023,C0550,P0010,S055,In-Store,2.00,99.46,0.00,198.92
O00295,9/24/2023,C0797,P0088,,Online,3.00,361.93,0.10,977.21
O00296,3/16/2024,C0337,P0777,,Online,2.00,145.77,0.05,276.96
O00297,10/5/2023,C0597,P0943,,Online,1.00,181.12,0.10,163.01
O00298,7/19/2024,C0771,P1196,S057,In-Store,1.00,103.64,0.20,82.91
O00299,7/17/2023,C0684,P0250,S015,In-Store,1.00,294.26,0.20,235.41
O00300,8/18/2024,C0287,P0659,S030,In-Store,2.00,218.60,0.05,415.34
O00301,10/5/2024,C0784,P0606,S022,In-Store,2.00,6.77,0.05,12.86
O00302,4/5/2024,C0752,P0421,S004,In-Store,1.00,322.09,0.20,257.67
O00303,8/12/2023,C0013,P0442,S024,In-Store,2.00,206.69,0.05,392.71
O00304,2/23/2024,C0348,P0427,S048,In-Store,2.00,219.82,0.10,395.68
O00305,9/1/2023,C0319,P0929,S054,In-Store,3.00,34.13,0.00,102.39
O00306,6/9/2023,C0224,P0744,S028,In-Store,2.00,190.33,0.05,361.63
O00307,12/14/2023,C0192,P0140,,Online,2.00,187.12,0.05,355.53
O00308,4/3/2025,C0591,P0209,,Online,2.00,25.81,0.00,51.62
O00309,12/5/2023,C0246,P0033,S011,In-Store,3.00,288.63,0.10,779.3
O00310,2/25/2025,C0677,P1087,S016,In-Store,2.00,36.72,0.00,73.44
O00311,1/28/2024,C0086,P0725,S009,In-Store,1.00,240.40,0.20,192.32
O00312,3/23/2024,C0520,P0683,,Online,3.00,27.06,0.10,73.06
O00313,3/9/2025,C0050,P0783,S027,In-Store,2.00,59.11,0.05,112.31
O00314,4/16/2023,C0412,P0361,S033,In-Store,1.00,214.00,0.20,171.2
O00315,7/16/2023,C0111,P0102,S007,In-Store,1.00,221.14,0.05,210.08
O00316,4/16/2023,C0036,P1178,,Online,2.00,63.25,0.00,126.5
O00317,3/30/2025,C0282,P0463,S044,In-Store,2.00,192.98,0.20,308.77
O00318,4/6/2024,C0103,P0450,S056,In-Store,2.00,225.10,0.10,405.18
O00319,7/10/2023,C0175,P0416,S018,In-Store,2.00,166.68,0.10,300.02
O00320,5/2/2023,C0096,P0379,,In-Store,3.00,186.50,0.20,447.6
O00321,8/14/2024,C0704,P0488,,Online,3.00,197.17,0.00,591.51
O00322,6/14/2024,C0340,P0932,,Online,2.00,249.21,0.00,498.42
O00323,9/27/2023,C0438,P0684,,Online,2.00,222.84,0.10,401.11
O00324,1/25/2024,C0174,P0019,S030,In-Store,1.00,175.44,0.00,175.44
O00325,1/27/2024,C0253,P0967,,Online,2.00,177.85,0.00,355.7
O00326,9/2/2023,C0297,P0467,S010,In-Store,3.00,102.73,0.05,292.78
O00327,8/4/2024,C0102,P0623,S021,In-Store,1.00,122.49,0.20,97.99
O00328,3/17/2025,C0359,P1117,,Online,1.00,233.40,0.20,186.72
O00329,11/2/2023,C0469,P0027,S019,In-Store,1.00,236.79,0.10,213.11
O00330,3/5/2024,C0793,P0684,S017,In-Store,1.00,222.84,0.00,222.84
O00331,6/24/2024,C0420,P0451,S009,In-Store,1.00,34.75,0.10,31.28
O00332,5/22/2024,C0250,P1182,S027,In-Store,1.00,275.08,0.10,247.57
O00333,12/12/2023,C0091,P0396,S024,In-Store,1.00,242.65,0.00,242.65
